id,han_char,han_viet,meaning_short,polarity,name_safe,gender_hint,yin_yang_hint,vibe_tags,element_hint,priority,notes
1,安,An,Yên ổn bình an,2,1,Trung,Âm,bình yên,nhẹ nhàng,Thổ,5
2,英,Anh,Tài giỏi tinh anh,2,1,Trung,Âm,thông minh,sáng sủa,Mộc,5
3,映,Ánh,Ánh sáng chiếu rọi,2,1,Nữ,Dương,rạng rỡ,nổi bật,Hỏa,4
4,恩,Ân,Ân nghĩa ân tình,2,1,Trung,Âm,tình cảm,đạo đức,Mộc,3
5,柏,Bách,Cây bách kiên định,2,1,Nam,Dương,mạnh mẽ,vững chãi,Mộc,3
6,宝,Bảo,Quý giá bảo vật,2,1,Trung,Dương,quý phái,giàu sang,Kim,5
7,平,Bình,Bằng phẳng công bằng,2,1,Trung,Âm,hòa nhã,công chính,Thủy,5
8,碧,Bích,Đá quý màu xanh,2,1,Nữ,Dương,sang trọng,thanh tao,Thổ,4
9,鹏,Bằng,Loài chim lớn (đại bàng),2,1,Nam,Âm,khát vọng,bay cao,Thổ,3
10,吉,Cát,Tốt lành may mắn,2,1,Nữ,Dương,may mắn,vui vẻ,Thổ,3
11,景,Cảnh,Phong cảnh sáng sủa,1,1,Nam,Dương,tươi sáng,rộng mở,Hỏa,3
12,琴,Cầm,Đàn cầm thanh tao,2,1,Nữ,Âm,nghệ thuật,nhẹ nhàng,Mộc,3
13,芝,Chi,Cỏ linh chi cao quý,2,1,Nữ,Âm,nhỏ nhắn,quý giá,Mộc,5
14,战,Chiến,Chiến đấu tranh đấu,1,1,Nam,Dương,mạnh mẽ,quyết liệt,Kim,3
15,钟,Chung,Chuông hoặc tập trung,1,1,Nam,Âm,kiên định,trung thực,Kim,4
16,强,Cường,Mạnh mẽ cứng cáp,2,1,Nam,Âm,sức khỏe,kiên cường,Mộc,5
17,公,Công,Công bằng chung sức,1,1,Nam,Âm,chính trực,hướng ngoại,Mộc,4
18,勇,Dũng,Dũng cảm gan dạ,2,1,Nam,Dương,anh hùng,gan góc,Thổ,5
19,阳,Dương,Mặt trời rực rỡ,2,1,Trung,Âm,sáng sủa,nhiệt huyết,Hỏa,5
20,维,Duy,Gìn giữ duy nhất,2,1,Nam,Âm,độc đáo,tư duy,Thổ,4
21,妙,Diệu,Kỳ diệu khéo léo,2,1,Nữ,Dương,nhẹ nhàng,huyền bí,Thủy,4
22,达,Đạt,Thành đạt thông suốt,2,1,Nam,Dương,thành công,tiến bộ,Thổ,5
23,德,Đức,Đạo đức ơn đức,2,1,Nam,Dương,nhân hậu,uy tín,Hỏa,5
24,灯,Đăng,Ngọn đèn soi sáng,2,1,Nam,Âm,soi đường,trí tuệ,Hỏa,4
25,蝶,Điệp,Bươm bướm xinh đẹp,1,1,Nữ,Dương,mỏng manh,đẹp đẽ,Mộc,3
26,端,Đoan,Đoan chính ngay thẳng,2,1,Nữ,Âm,nghiêm túc,nết na,Hỏa,3
27,庭,Đình,Sân nhà nơi tụ họp,1,1,Nam,Âm,vững chãi,trung tâm,Hỏa,4
28,大,Đại,To lớn vĩ đại,1,1,Nam,Dương,hùng vĩ,lớn lao,Mộc,3
29,家,Gia,Gia đình nhà cửa,2,1,Trung,Âm,ấm áp,gắn kết,Mộc,5
30,江,Giang,Dòng sông lớn,2,1,Trung,Âm,mênh mông,phóng khoáng,Thủy,5
31,交,Giao,Giao hòa kết nối,1,1,Nữ,Âm,hòa đồng,gắn kết,Mộc,3
32,河,Hà,Dòng sông hiền hòa,2,1,Nữ,Âm,mềm mại,trôi chảy,Thủy,5
33,海,Hải,Biển cả rộng lớn,2,1,Nam,Dương,bao la,sâu sắc,Thủy,5
34,行,Hạnh,Đức hạnh nết na,2,1,Nữ,Dương,hiền thục,tốt bụng,Kim,5
35,好,Hảo,Tốt đẹp hoàn hảo,2,1,Trung,Dương,tuyệt vời,tích cực,Thủy,3
36,厚,Hậu,Dày dặn phúc hậu,2,1,Trung,Dương,nhân từ,sâu sắc,Thổ,4
37,贤,Hiền,Hiền lành tài đức,2,1,Trung,Âm,lương thiện,ôn hòa,Mộc,5
38,孝,Hiếu,Hiếu thảo tôn trọng,2,1,Nam,Dương,đạo đức,tình cảm,Kim,5
39,侠,Hiệp,Hào hiệp trượng nghĩa,2,1,Nam,Dương,nghĩa khí,giúp người,Hỏa,3
40,花,Hoa,Bông hoa rực rỡ,2,1,Nữ,Âm,xinh đẹp,tươi tắn,Mộc,5
41,和,Hòa,Hòa thuận êm ấm,2,1,Trung,Âm,thân thiện,bình tĩnh,Mộc,5
42,怀,Hoài,Nhớ mong hoài bão,1,1,Trung,Âm,tình cảm,sâu sắc,Thủy,4
43,黄,Hoàng,Màu vàng huy hoàng,2,1,Nam,Âm,rực rỡ,quyền quý,Thổ,5
44,辉,Huy,Ánh sáng rực rỡ,2,1,Nam,Âm,thành công,nổi bật,Hỏa,5
45,雄,Hùng,Mạnh mẽ kiệt xuất,2,1,Nam,Âm,oai phong,lãnh đạo,Thủy,5
46,兴,Hưng,Hưng thịnh phát triển,2,1,Nam,Âm,thịnh vượng,đi lên,Thủy,5
47,香,Hương,Hương thơm dịu dàng,2,1,Nữ,Âm,quyến rũ,nữ tính,Thủy,5
48,玄,Huyền,Huyền bí sâu xa,1,1,Nữ,Âm,bí ẩn,thu hút,Thủy,4
49,启,Khải,Mở ra bắt đầu,2,1,Nam,Dương,khởi đầu,sáng tạo,Mộc,4
50,庆,Khánh,Vui mừng chúc mừng,2,1,Trung,Dương,vui vẻ,hân hoan,Thủy,5
51,科,Khoa,Khoa bảng học vấn,2,1,Nam,Âm,tri thức,đỗ đạt,Mộc,5
52,魁,Khôi,Đứng đầu tuấn tú,2,1,Nam,Âm,đẹp trai,tài năng,Mộc,5
53,奎,Khuê,Sao Khuê văn chương,2,1,Nữ,Âm,học thức,đài các,Thổ,4
54,坚,Kiên,Kiên trì vững vàng,2,1,Nam,Âm,bền bỉ,nhẫn nại,Thổ,5
55,杰,Kiệt,Hào kiệt xuất chúng,2,1,Nam,Dương,tài năng,vượt trội,Mộc,4
56,金,Kim,Vàng kim loại quý,2,1,Trung,Âm,quý giá,vững chắc,Kim,5
57,奇,Kỳ,Kỳ diệu hiếm có,1,1,Trung,Âm,độc đáo,bất ngờ,Mộc,3
58,蓝,Lam,Màu xanh lam ngọc,2,1,Nữ,Âm,thanh bình,nhã nhặn,Mộc,4
59,兰,Lan,Hoa lan thanh cao,2,1,Nữ,Âm,quý phái,xinh đẹp,Mộc,5
60,麟,Lân,Kỳ lân tường thụy,2,1,Nam,Âm,may mắn,cao quý,Hỏa,3
61,林,Lâm,Rừng cây đông đúc,2,1,Nam,Âm,vững chãi,sinh sôi,Mộc,5
62,黎,Lê,Đám đông rạng đông,1,1,Trung,Âm,khởi đầu,đông đúc,Hỏa,3
63,莲,Liên,Hoa sen thanh khiết,2,1,Nữ,Âm,trong sáng,thoát tục,Mộc,5
64,灵,Linh,Linh hoạt khôn khéo,2,1,Nữ,Âm,nhanh nhẹn,thông minh,Hỏa,5
65,鸾,Loan,Chim loan tin vui,2,1,Nữ,Âm,xinh đẹp,cao sang,Hỏa,4
66,龙,Long,Rồng quyền uy,2,1,Nam,Âm,quyền lực,mạnh mẽ,Thổ,5
67,禄,Lộc,Tài lộc may mắn,2,1,Nam,Dương,giàu có,phúc phần,Hỏa,5
68,良,Lương,Lương thiện tốt lành,2,1,Trung,Âm,tốt bụng,chất phác,Mộc,4
69,璃,Ly,Ngọc ly trong suốt,1,1,Nữ,Âm,sáng trong,tách biệt,Hỏa,4
70,梅,Mai,Hoa mai mùa xuân,2,1,Nữ,Âm,tươi mới,may mắn,Mộc,5
71,孟,Mạnh,Mạnh mẽ anh cả,2,1,Nam,Dương,khoẻ mạnh,dẫn đầu,Thủy,5
72,敏,Mẫn,Minh mẫn nhanh nhẹn,2,1,Trung,Dương,sáng suốt,lanh lợi,Thủy,4
73,明,Minh,Sáng suốt thông minh,2,1,Trung,Âm,trí tuệ,rõ ràng,Hỏa,5
